trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
536,False,"{'a': 0.25, 'e': 0.06810378976195819}",30,18,23.04277793680044,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.25, 'e': 0.0677632708131484}",25,0,22.312693511211187,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
538,False,"{'a': 0.25, 'e': 0.06742445445908266}",25,0,24.632648868560644,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
539,False,"{'a': 0.25, 'e': 0.06708733218678724}",30,10,-51.98904876918587,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
540,False,"{'a': 0.25, 'e': 0.0667518955258533}",20,4,-17.77360528537089,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
541,False,"{'a': 0.25, 'e': 0.06641813604822402}",25,12,23.801258549033538,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.25, 'e': 0.0660860453679829}",20,0,32.45505255196031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
543,False,"{'a': 0.25, 'e': 0.06575561514114299}",25,6,32.15804479587462,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.25, 'e': 0.06542683706543727}",35,14,37.91155526255435,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.25, 'e': 0.06509970288011008}",20,0,26.181399011962224,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
546,False,"{'a': 0.25, 'e': 0.06477420436570952}",20,8,22.287161719852953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.25, 'e': 0.06445033334388098}",25,12,12.990260193225211,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
548,False,"{'a': 0.25, 'e': 0.06412808167716157}",20,7,24.623408314107607,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.25, 'e': 0.06380744126877576}",20,2,6.650234138078086,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
550,False,"{'a': 0.25, 'e': 0.06348840406243188}",20,12,10.53808219486745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.25, 'e': 0.06317096204211972}",20,10,16.5823097245028,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.25, 'e': 0.06285510723190912}",20,13,10.190645647465097,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.25, 'e': 0.06254083169574957}",25,18,15.33271942620943,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.25, 'e': 0.062228127537270826}",25,16,17.74587803595791,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.25, 'e': 0.06191698689958447}",25,13,23.359591453770534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
556,False,"{'a': 0.25, 'e': 0.061607401965086545}",20,6,4.29414271855859,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
557,False,"{'a': 0.25, 'e': 0.06129936495526111}",25,12,10.206246436269833,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
558,False,"{'a': 0.25, 'e': 0.0609928681304848}",30,15,29.103335788947227,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.25, 'e': 0.060687903789832374}",20,11,14.224738950900676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.25, 'e': 0.06038446427088321}",20,0,33.80034338349085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
561,False,"{'a': 0.25, 'e': 0.06008254194952879}",35,22,24.22685727348231,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.25, 'e': 0.05978212923978115}",20,0,30.293168828045495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
563,False,"{'a': 0.25, 'e': 0.05948321859358224}",25,0,23.058992500255755,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
564,False,"{'a': 0.25, 'e': 0.05918580250061433}",25,10,27.593009886206044,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.25, 'e': 0.058889873488111255}",20,10,16.137473196159938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.25, 'e': 0.058595424120670696}",25,8,29.88852472532103,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.25, 'e': 0.05830244700006734}",30,15,23.403371447712306,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
